"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"100009676_at",NA,5.49272168926667,NA,NA,NA,NA
"10000_at",NA,8.4868820556,NA,NA,NA,NA
"10001_at",NA,8.53945586166667,NA,NA,NA,NA
"10002_at",NA,3.85902768893333,NA,NA,NA,NA
"10003_at",NA,6.24771523046667,NA,NA,NA,NA
"100048912_at",NA,2.37274796593333,NA,NA,NA,NA
"100049716_at",NA,4.07313049026667,NA,NA,NA,NA
"10004_at",NA,3.16703217666667,NA,NA,NA,NA
"10005_at",NA,5.8281069566,NA,NA,NA,NA
"10006_at",NA,8.99539779353333,NA,NA,NA,NA
"10007_at",NA,10.61599468,NA,NA,NA,NA
"10008_at",NA,2.40356088966667,NA,NA,NA,NA
"100093630_at",NA,8.60694867226667,NA,NA,NA,NA
"100093698_at",NA,2.37969819293333,NA,NA,NA,NA
"10009_at",NA,7.00043806233333,NA,NA,NA,NA
"1000_at",NA,9.79490373726667,NA,NA,NA,NA
"100101467_at",NA,4.7924408616,NA,NA,NA,NA
"100101938_at",NA,2.69754023286667,NA,NA,NA,NA
"10010_at",NA,7.7177621982,NA,NA,NA,NA
"100113407_at",NA,6.06486167173333,NA,NA,NA,NA
"10011_at",NA,10.1476106893333,NA,NA,NA,NA
"100124700_at",NA,4.21901955046667,NA,NA,NA,NA
"100125288_at",NA,6.0626173222,NA,NA,NA,NA
"100126784_at",NA,6.70609232253333,NA,NA,NA,NA
"100126791_at",NA,6.0220602388,NA,NA,NA,NA
"100126793_at",NA,5.20822198973333,NA,NA,NA,NA
"100127888_at",NA,4.29964781506667,NA,NA,NA,NA
"100127983_at",NA,7.2784348716,NA,NA,NA,NA
"100128025_at",NA,5.98725636773333,NA,NA,NA,NA
"100128071_at",NA,4.66878737886667,NA,NA,NA,NA
"100128079_at",NA,2.44071504286667,NA,NA,NA,NA
"100128081_at",NA,1.81247928853333,NA,NA,NA,NA
"100128098_at",NA,2.559104355,NA,NA,NA,NA
"100128124_at",NA,4.7933833352,NA,NA,NA,NA
"100128126_at",NA,2.30568966633333,NA,NA,NA,NA
"100128139_at",NA,1.62997786193333,NA,NA,NA,NA
"100128164_at",NA,2.3083263302,NA,NA,NA,NA
"100128176_at",NA,1.81690575166667,NA,NA,NA,NA
"100128191_at",NA,6.88230674933333,NA,NA,NA,NA
"100128239_at",NA,2.482578675,NA,NA,NA,NA
