"Gene","Direction"
"6430_at","DOWN"
"677847_at","DOWN"
"10157_at","DOWN"
"4493_at","DOWN"
"439996_at","DOWN"
"57018_at","DOWN"
"3653_at","DOWN"
"101926962_at","DOWN"
"1655_at","DOWN"
"100507062_at","DOWN"
"7157_at","UP"
"64651_at","DOWN"
"1195_at","DOWN"
"113829_at","UP"
"767591_at","DOWN"
"57140_at","UP"
"84460_at","DOWN"
"22936_at","DOWN"
"50831_at","DOWN"
"25957_at","DOWN"
"100302650_at","DOWN"
"58986_at","UP"
"9817_at","UP"
"9584_at","DOWN"
"6238_at","UP"
"692227_at","DOWN"
"10263_at","UP"
"27099_at","DOWN"
"390916_at","UP"
"58517_at","DOWN"
"56005_at","UP"
"407006_at","DOWN"
"54206_at","DOWN"
"3040_at","UP"
"5364_at","UP"
"117283_at","DOWN"
"57494_at","DOWN"
"100873917_at","DOWN"
"4784_at","UP"
"9295_at","DOWN"
"654319_at","DOWN"
"257218_at","DOWN"
"339874_at","DOWN"
"2050_at","UP"
"51747_at","DOWN"
"57192_at","UP"
"7072_at","DOWN"
"647033_at","DOWN"
"645460_at","DOWN"
"25826_at","DOWN"
"10748_at","DOWN"
"4125_at","UP"
"23629_at","DOWN"
"26045_at","DOWN"
"101928784_at","DOWN"
"5295_at","DOWN"
"5996_at","DOWN"
"654321_at","DOWN"
"23451_at","DOWN"
"84572_at","UP"
"1175_at","UP"
"100289230_at","DOWN"
"3043_at","UP"
"79659_at","DOWN"
"54461_at","UP"
"4820_at","DOWN"
"22838_at","UP"
"8473_at","DOWN"
"100289511_at","DOWN"
"3039_at","UP"
"9481_at","DOWN"
"84275_at","DOWN"
"677771_at","DOWN"
"26118_at","DOWN"
"100873976_at","DOWN"
"284702_at","DOWN"
"101928141_at","DOWN"
"767597_at","DOWN"
"692108_at","DOWN"
"26804_at","DOWN"
"100775107_at","DOWN"
"643376_at","DOWN"
"283131_at","DOWN"
"100500880_at","DOWN"
"1471_at","UP"
"5144_at","DOWN"
"399670_at","DOWN"
"10908_at","UP"
"1105_at","DOWN"
"116828_at","DOWN"
"124245_at","UP"
"9774_at","DOWN"
"100131564_at","DOWN"
"130872_at","DOWN"
"4489_at","DOWN"
"55599_at","DOWN"
"5166_at","DOWN"
"378938_at","DOWN"
"493812_at","UP"
"5411_at","DOWN"
"101927217_at","DOWN"
"100874241_at","DOWN"
"145624_at","DOWN"
"158257_at","DOWN"
"406991_at","DOWN"
"51133_at","DOWN"
"4739_at","DOWN"
"114803_at","DOWN"
"10095_at","UP"
"85391_at","DOWN"
"100506413_at","DOWN"
"401024_at","DOWN"
"1768_at","DOWN"
