Metric type,Drug or pair,Disease set,Observed distance,Permutation mean distance,Proximity z-score,Separation,d_ab,d_aa,d_bb
Drug-disease proximity,RTX,DEGs,0.6428571428571429,0.8191190476190477,-2.480851455898113,,,,
Drug-disease proximity,RTX,GWAS,1.761904761904762,3.486238095238096,-9.756522393684236,,,,
Drug-disease proximity,RTX,Integrated,0.4285714285714285,0.7874761904761906,-5.510670597581181,,,,
Drug-disease proximity,TAC,DEGs,0.7142857142857143,0.8223571428571429,-0.8836279849201579,,,,
Drug-disease proximity,TAC,GWAS,2.9285714285714284,3.499571428571429,-1.7783791438363734,,,,
Drug-disease proximity,TAC,Integrated,0.5714285714285714,0.7812142857142857,-1.852699667390706,,,,
Drug-disease proximity,CTX,DEGs,0.5294117647058824,0.825,-2.723437228203497,,,,
Drug-disease proximity,CTX,GWAS,2.0,3.4819411764705883,-5.039834810002163,,,,
Drug-disease proximity,CTX,Integrated,0.5294117647058824,0.7880588235294117,-2.611259225665737,,,,
Drug-drug separation,RTX_TAC,,,,,1.1428571428571428,2.142857142857143,1.0,1.0
Drug-drug separation,RTX_CTX,,,,,1.0714285714285716,2.071428571428572,1.0,1.0
Drug-drug separation,TAC_CTX,,,,,1.4285714285714284,2.4285714285714284,1.0,1.0
